title,agency,location,product_category,estimated_value,bid_deadline,description,website_url,contact_name,contact_email,contact_phone,is_quick_win,status,posted_date
Mississippi Senior Living & Care - Janitorial Supply Contract,Mississippi Senior Living & Care,"Jackson, MS",Senior Care,"$600,000 - $2,000,000",02/03/2026,Mississippi assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.mississippiseniorcare.com,Procurement Director,procurement@mississippiseniorcare.com,(MS) Senior Care Purchasing,true,open,11/05/2025
Mississippi Retail Chain HQ - Janitorial Supply Contract,Mississippi Retail Chain HQ,"Jackson, MS",Retail,"$1,200,000 - $4,000,000",02/03/2026,Mississippi retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.mississippiretail.com,Corporate Procurement,procurement@mississippiretail.com,(MS) Retail Procurement,true,open,11/05/2025
Mississippi Manufacturing Plant - Janitorial Supply Contract,Mississippi Manufacturing Plant,"Jackson, MS",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Mississippi manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.mississippimanufacturing.com,Operations Manager,operations@mississippimfg.com,(MS) Plant Operations,true,open,11/05/2025
Missouri Facilities Management Department - Janitorial Supply Contract,Missouri Facilities Management Department,"Jefferson City, MO",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Missouri Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.mo.gov,Facilities Director,facilities@dgs.mo.gov,(MO) State Facilities Office,true,open,11/05/2025
Missouri Department of Education - Janitorial Supply Contract,Missouri Department of Education,"Jefferson City, MO",Education,"$1,000,000 - $5,000,000",02/03/2026,"Missouri Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.mo.gov,Procurement Services,procurement@education.mo.gov,(MO) DOE Procurement,true,open,11/05/2025
Missouri University System - Janitorial Supply Contract,Missouri University System,"Jefferson City, MO",Education,"$500,000 - $2,000,000",02/03/2026,Missouri government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.missouri.gov,Procurement Office,procurement@mo.gov,(MO) State Procurement,true,open,11/05/2025
Missouri Healthcare Network - Janitorial Supply Contract,Missouri Healthcare Network,"Jefferson City, MO",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Missouri healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.missourihealthnetwork.org,Supply Chain Director,procurement@missourihealth.org,(MO) Healthcare Procurement,true,open,11/05/2025
Missouri Hospitality Group - Janitorial Supply Contract,Missouri Hospitality Group,"Jefferson City, MO",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Missouri hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.missourihospitalitygroup.com,Procurement Manager,purchasing@missourihotels.com,(MO) Hospitality Purchasing,true,open,11/05/2025
Missouri Commercial Properties - Janitorial Supply Contract,Missouri Commercial Properties,"Jefferson City, MO",Real Estate,"$600,000 - $2,000,000",02/03/2026,Missouri commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.missouriproperties.com,Facilities Management,facilities@missouriproperties.com,(MO) Property Management,true,open,11/05/2025
Missouri Airport Authority - Janitorial Supply Contract,Missouri Airport Authority,"Jefferson City, MO",Airport,"$750,000 - $2,500,000",02/03/2026,"Missouri airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.missouriairport.com,Facilities Procurement,procurement@missouriairport.com,(MO) Airport Operations,true,open,11/05/2025
Missouri Correctional Facilities - Janitorial Supply Contract,Missouri Correctional Facilities,"Jefferson City, MO",Corrections,"$900,000 - $3,000,000",02/03/2026,Missouri Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.mo.gov,Facilities Procurement,procurement@corrections.mo.gov,(MO) DOC Procurement,true,open,11/05/2025
Missouri Port Authority - Janitorial Supply Contract,Missouri Port Authority,"Jefferson City, MO",Port,"$500,000 - $1,800,000",02/03/2026,"Missouri port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.missouriport.com,Facilities Director,facilities@missouriport.com,(MO) Port Operations,true,open,11/05/2025
Missouri Senior Living & Care - Janitorial Supply Contract,Missouri Senior Living & Care,"Jefferson City, MO",Senior Care,"$600,000 - $2,000,000",02/03/2026,Missouri assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.missouriseniorcare.com,Procurement Director,procurement@missouriseniorcare.com,(MO) Senior Care Purchasing,true,open,11/05/2025
Missouri Retail Chain HQ - Janitorial Supply Contract,Missouri Retail Chain HQ,"Jefferson City, MO",Retail,"$1,200,000 - $4,000,000",02/03/2026,Missouri retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.missouriretail.com,Corporate Procurement,procurement@missouriretail.com,(MO) Retail Procurement,true,open,11/05/2025
Missouri Manufacturing Plant - Janitorial Supply Contract,Missouri Manufacturing Plant,"Jefferson City, MO",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Missouri manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.missourimanufacturing.com,Operations Manager,operations@missourimfg.com,(MO) Plant Operations,true,open,11/05/2025
Montana Facilities Management Department - Janitorial Supply Contract,Montana Facilities Management Department,"Helena, MT",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Montana Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.mt.gov,Facilities Director,facilities@dgs.mt.gov,(MT) State Facilities Office,true,open,11/05/2025
Montana Department of Education - Janitorial Supply Contract,Montana Department of Education,"Helena, MT",Education,"$1,000,000 - $5,000,000",02/03/2026,"Montana Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.mt.gov,Procurement Services,procurement@education.mt.gov,(MT) DOE Procurement,true,open,11/05/2025
Montana University System - Janitorial Supply Contract,Montana University System,"Helena, MT",Education,"$500,000 - $2,000,000",02/03/2026,Montana government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.montana.gov,Procurement Office,procurement@mt.gov,(MT) State Procurement,true,open,11/05/2025
Montana Healthcare Network - Janitorial Supply Contract,Montana Healthcare Network,"Helena, MT",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Montana healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.montanahealthnetwork.org,Supply Chain Director,procurement@montanahealth.org,(MT) Healthcare Procurement,true,open,11/05/2025
Montana Hospitality Group - Janitorial Supply Contract,Montana Hospitality Group,"Helena, MT",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Montana hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.montanahospitalitygroup.com,Procurement Manager,purchasing@montanahotels.com,(MT) Hospitality Purchasing,true,open,11/05/2025
Montana Commercial Properties - Janitorial Supply Contract,Montana Commercial Properties,"Helena, MT",Real Estate,"$600,000 - $2,000,000",02/03/2026,Montana commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.montanaproperties.com,Facilities Management,facilities@montanaproperties.com,(MT) Property Management,true,open,11/05/2025
Montana Airport Authority - Janitorial Supply Contract,Montana Airport Authority,"Helena, MT",Airport,"$750,000 - $2,500,000",02/03/2026,"Montana airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.montanaairport.com,Facilities Procurement,procurement@montanaairport.com,(MT) Airport Operations,true,open,11/05/2025
Montana Correctional Facilities - Janitorial Supply Contract,Montana Correctional Facilities,"Helena, MT",Corrections,"$900,000 - $3,000,000",02/03/2026,Montana Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.mt.gov,Facilities Procurement,procurement@corrections.mt.gov,(MT) DOC Procurement,true,open,11/05/2025
Montana Port Authority - Janitorial Supply Contract,Montana Port Authority,"Helena, MT",Port,"$500,000 - $1,800,000",02/03/2026,"Montana port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.montanaport.com,Facilities Director,facilities@montanaport.com,(MT) Port Operations,true,open,11/05/2025
Montana Senior Living & Care - Janitorial Supply Contract,Montana Senior Living & Care,"Helena, MT",Senior Care,"$600,000 - $2,000,000",02/03/2026,Montana assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.montanaseniorcare.com,Procurement Director,procurement@montanaseniorcare.com,(MT) Senior Care Purchasing,true,open,11/05/2025
Montana Retail Chain HQ - Janitorial Supply Contract,Montana Retail Chain HQ,"Helena, MT",Retail,"$1,200,000 - $4,000,000",02/03/2026,Montana retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.montanaretail.com,Corporate Procurement,procurement@montanaretail.com,(MT) Retail Procurement,true,open,11/05/2025
Montana Manufacturing Plant - Janitorial Supply Contract,Montana Manufacturing Plant,"Helena, MT",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Montana manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.montanamanufacturing.com,Operations Manager,operations@montanamfg.com,(MT) Plant Operations,true,open,11/05/2025
Nebraska Facilities Management Department - Janitorial Supply Contract,Nebraska Facilities Management Department,"Lincoln, NE",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Nebraska Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.ne.gov,Facilities Director,facilities@dgs.ne.gov,(NE) State Facilities Office,true,open,11/05/2025
Nebraska Department of Education - Janitorial Supply Contract,Nebraska Department of Education,"Lincoln, NE",Education,"$1,000,000 - $5,000,000",02/03/2026,"Nebraska Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.ne.gov,Procurement Services,procurement@education.ne.gov,(NE) DOE Procurement,true,open,11/05/2025
Nebraska University System - Janitorial Supply Contract,Nebraska University System,"Lincoln, NE",Education,"$500,000 - $2,000,000",02/03/2026,Nebraska government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.nebraska.gov,Procurement Office,procurement@ne.gov,(NE) State Procurement,true,open,11/05/2025
Nebraska Healthcare Network - Janitorial Supply Contract,Nebraska Healthcare Network,"Lincoln, NE",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Nebraska healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.nebraskahealthnetwork.org,Supply Chain Director,procurement@nebraskahealth.org,(NE) Healthcare Procurement,true,open,11/05/2025
Nebraska Hospitality Group - Janitorial Supply Contract,Nebraska Hospitality Group,"Lincoln, NE",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Nebraska hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.nebraskahospitalitygroup.com,Procurement Manager,purchasing@nebraskahotels.com,(NE) Hospitality Purchasing,true,open,11/05/2025
Nebraska Commercial Properties - Janitorial Supply Contract,Nebraska Commercial Properties,"Lincoln, NE",Real Estate,"$600,000 - $2,000,000",02/03/2026,Nebraska commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.nebraskaproperties.com,Facilities Management,facilities@nebraskaproperties.com,(NE) Property Management,true,open,11/05/2025
Nebraska Airport Authority - Janitorial Supply Contract,Nebraska Airport Authority,"Lincoln, NE",Airport,"$750,000 - $2,500,000",02/03/2026,"Nebraska airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.nebraskaairport.com,Facilities Procurement,procurement@nebraskaairport.com,(NE) Airport Operations,true,open,11/05/2025
Nebraska Correctional Facilities - Janitorial Supply Contract,Nebraska Correctional Facilities,"Lincoln, NE",Corrections,"$900,000 - $3,000,000",02/03/2026,Nebraska Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.ne.gov,Facilities Procurement,procurement@corrections.ne.gov,(NE) DOC Procurement,true,open,11/05/2025
Nebraska Port Authority - Janitorial Supply Contract,Nebraska Port Authority,"Lincoln, NE",Port,"$500,000 - $1,800,000",02/03/2026,"Nebraska port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.nebraskaport.com,Facilities Director,facilities@nebraskaport.com,(NE) Port Operations,true,open,11/05/2025
Nebraska Senior Living & Care - Janitorial Supply Contract,Nebraska Senior Living & Care,"Lincoln, NE",Senior Care,"$600,000 - $2,000,000",02/03/2026,Nebraska assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.nebraskaseniorcare.com,Procurement Director,procurement@nebraskaseniorcare.com,(NE) Senior Care Purchasing,true,open,11/05/2025
Nebraska Retail Chain HQ - Janitorial Supply Contract,Nebraska Retail Chain HQ,"Lincoln, NE",Retail,"$1,200,000 - $4,000,000",02/03/2026,Nebraska retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.nebraskaretail.com,Corporate Procurement,procurement@nebraskaretail.com,(NE) Retail Procurement,true,open,11/05/2025
Nebraska Manufacturing Plant - Janitorial Supply Contract,Nebraska Manufacturing Plant,"Lincoln, NE",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Nebraska manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.nebraskamanufacturing.com,Operations Manager,operations@nebraskamfg.com,(NE) Plant Operations,true,open,11/05/2025
Nevada Facilities Management Department - Janitorial Supply Contract,Nevada Facilities Management Department,"Carson City, NV",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Nevada Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.nv.gov,Facilities Director,facilities@dgs.nv.gov,(NV) State Facilities Office,true,open,11/05/2025
Nevada Department of Education - Janitorial Supply Contract,Nevada Department of Education,"Carson City, NV",Education,"$1,000,000 - $5,000,000",02/03/2026,"Nevada Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.nv.gov,Procurement Services,procurement@education.nv.gov,(NV) DOE Procurement,true,open,11/05/2025
Nevada University System - Janitorial Supply Contract,Nevada University System,"Carson City, NV",Education,"$500,000 - $2,000,000",02/03/2026,Nevada government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.nevada.gov,Procurement Office,procurement@nv.gov,(NV) State Procurement,true,open,11/05/2025
Nevada Healthcare Network - Janitorial Supply Contract,Nevada Healthcare Network,"Carson City, NV",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Nevada healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.nevadahealthnetwork.org,Supply Chain Director,procurement@nevadahealth.org,(NV) Healthcare Procurement,true,open,11/05/2025
Nevada Hospitality Group - Janitorial Supply Contract,Nevada Hospitality Group,"Carson City, NV",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Nevada hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.nevadahospitalitygroup.com,Procurement Manager,purchasing@nevadahotels.com,(NV) Hospitality Purchasing,true,open,11/05/2025
Nevada Commercial Properties - Janitorial Supply Contract,Nevada Commercial Properties,"Carson City, NV",Real Estate,"$600,000 - $2,000,000",02/03/2026,Nevada commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.nevadaproperties.com,Facilities Management,facilities@nevadaproperties.com,(NV) Property Management,true,open,11/05/2025
Nevada Airport Authority - Janitorial Supply Contract,Nevada Airport Authority,"Carson City, NV",Airport,"$750,000 - $2,500,000",02/03/2026,"Nevada airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.nevadaairport.com,Facilities Procurement,procurement@nevadaairport.com,(NV) Airport Operations,true,open,11/05/2025
Nevada Correctional Facilities - Janitorial Supply Contract,Nevada Correctional Facilities,"Carson City, NV",Corrections,"$900,000 - $3,000,000",02/03/2026,Nevada Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.nv.gov,Facilities Procurement,procurement@corrections.nv.gov,(NV) DOC Procurement,true,open,11/05/2025
Nevada Port Authority - Janitorial Supply Contract,Nevada Port Authority,"Carson City, NV",Port,"$500,000 - $1,800,000",02/03/2026,"Nevada port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.nevadaport.com,Facilities Director,facilities@nevadaport.com,(NV) Port Operations,true,open,11/05/2025
Nevada Senior Living & Care - Janitorial Supply Contract,Nevada Senior Living & Care,"Carson City, NV",Senior Care,"$600,000 - $2,000,000",02/03/2026,Nevada assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.nevadaseniorcare.com,Procurement Director,procurement@nevadaseniorcare.com,(NV) Senior Care Purchasing,true,open,11/05/2025
Nevada Retail Chain HQ - Janitorial Supply Contract,Nevada Retail Chain HQ,"Carson City, NV",Retail,"$1,200,000 - $4,000,000",02/03/2026,Nevada retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.nevadaretail.com,Corporate Procurement,procurement@nevadaretail.com,(NV) Retail Procurement,true,open,11/05/2025
Nevada Manufacturing Plant - Janitorial Supply Contract,Nevada Manufacturing Plant,"Carson City, NV",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Nevada manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.nevadamanufacturing.com,Operations Manager,operations@nevadamfg.com,(NV) Plant Operations,true,open,11/05/2025
New Hampshire Facilities Management Department - Janitorial Supply Contract,New Hampshire Facilities Management Department,"Concord, NH",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"New Hampshire Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.nh.gov,Facilities Director,facilities@dgs.nh.gov,(NH) State Facilities Office,true,open,11/05/2025
New Hampshire Department of Education - Janitorial Supply Contract,New Hampshire Department of Education,"Concord, NH",Education,"$1,000,000 - $5,000,000",02/03/2026,"New Hampshire Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.nh.gov,Procurement Services,procurement@education.nh.gov,(NH) DOE Procurement,true,open,11/05/2025
New Hampshire University System - Janitorial Supply Contract,New Hampshire University System,"Concord, NH",Education,"$500,000 - $2,000,000",02/03/2026,New Hampshire government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.newhampshire.gov,Procurement Office,procurement@nh.gov,(NH) State Procurement,true,open,11/05/2025
New Hampshire Healthcare Network - Janitorial Supply Contract,New Hampshire Healthcare Network,"Concord, NH",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"New Hampshire healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.newhampshirehealthnetwork.org,Supply Chain Director,procurement@newhampshirehealth.org,(NH) Healthcare Procurement,true,open,11/05/2025
New Hampshire Hospitality Group - Janitorial Supply Contract,New Hampshire Hospitality Group,"Concord, NH",Hospitality,"$400,000 - $1,500,000",02/03/2026,"New Hampshire hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.newhampshirehospitalitygroup.com,Procurement Manager,purchasing@newhampshirehotels.com,(NH) Hospitality Purchasing,true,open,11/05/2025
New Hampshire Commercial Properties - Janitorial Supply Contract,New Hampshire Commercial Properties,"Concord, NH",Real Estate,"$600,000 - $2,000,000",02/03/2026,New Hampshire commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.newhampshireproperties.com,Facilities Management,facilities@newhampshireproperties.com,(NH) Property Management,true,open,11/05/2025
New Hampshire Airport Authority - Janitorial Supply Contract,New Hampshire Airport Authority,"Concord, NH",Airport,"$750,000 - $2,500,000",02/03/2026,"New Hampshire airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.newhampshireairport.com,Facilities Procurement,procurement@newhampshireairport.com,(NH) Airport Operations,true,open,11/05/2025
New Hampshire Correctional Facilities - Janitorial Supply Contract,New Hampshire Correctional Facilities,"Concord, NH",Corrections,"$900,000 - $3,000,000",02/03/2026,New Hampshire Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.nh.gov,Facilities Procurement,procurement@corrections.nh.gov,(NH) DOC Procurement,true,open,11/05/2025
New Hampshire Port Authority - Janitorial Supply Contract,New Hampshire Port Authority,"Concord, NH",Port,"$500,000 - $1,800,000",02/03/2026,"New Hampshire port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.newhampshireport.com,Facilities Director,facilities@newhampshireport.com,(NH) Port Operations,true,open,11/05/2025
New Hampshire Senior Living & Care - Janitorial Supply Contract,New Hampshire Senior Living & Care,"Concord, NH",Senior Care,"$600,000 - $2,000,000",02/03/2026,New Hampshire assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.newhampshireseniorcare.com,Procurement Director,procurement@newhampshireseniorcare.com,(NH) Senior Care Purchasing,true,open,11/05/2025
New Hampshire Retail Chain HQ - Janitorial Supply Contract,New Hampshire Retail Chain HQ,"Concord, NH",Retail,"$1,200,000 - $4,000,000",02/03/2026,New Hampshire retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.newhampshireretail.com,Corporate Procurement,procurement@newhampshireretail.com,(NH) Retail Procurement,true,open,11/05/2025
New Hampshire Manufacturing Plant - Janitorial Supply Contract,New Hampshire Manufacturing Plant,"Concord, NH",Manufacturing,"$800,000 - $2,500,000",02/03/2026,New Hampshire manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.newhampshiremanufacturing.com,Operations Manager,operations@newhampshiremfg.com,(NH) Plant Operations,true,open,11/05/2025
New Jersey Facilities Management Department - Janitorial Supply Contract,New Jersey Facilities Management Department,"Trenton, NJ",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"New Jersey Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.nj.gov,Facilities Director,facilities@dgs.nj.gov,(NJ) State Facilities Office,true,open,11/05/2025
New Jersey Department of Education - Janitorial Supply Contract,New Jersey Department of Education,"Trenton, NJ",Education,"$1,000,000 - $5,000,000",02/03/2026,"New Jersey Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.nj.gov,Procurement Services,procurement@education.nj.gov,(NJ) DOE Procurement,true,open,11/05/2025
New Jersey University System - Janitorial Supply Contract,New Jersey University System,"Trenton, NJ",Education,"$500,000 - $2,000,000",02/03/2026,New Jersey government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.newjersey.gov,Procurement Office,procurement@nj.gov,(NJ) State Procurement,true,open,11/05/2025
New Jersey Healthcare Network - Janitorial Supply Contract,New Jersey Healthcare Network,"Trenton, NJ",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"New Jersey healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.newjerseyhealthnetwork.org,Supply Chain Director,procurement@newjerseyhealth.org,(NJ) Healthcare Procurement,true,open,11/05/2025
New Jersey Hospitality Group - Janitorial Supply Contract,New Jersey Hospitality Group,"Trenton, NJ",Hospitality,"$400,000 - $1,500,000",02/03/2026,"New Jersey hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.newjerseyhospitalitygroup.com,Procurement Manager,purchasing@newjerseyhotels.com,(NJ) Hospitality Purchasing,true,open,11/05/2025
New Jersey Commercial Properties - Janitorial Supply Contract,New Jersey Commercial Properties,"Trenton, NJ",Real Estate,"$600,000 - $2,000,000",02/03/2026,New Jersey commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.newjerseyproperties.com,Facilities Management,facilities@newjerseyproperties.com,(NJ) Property Management,true,open,11/05/2025
New Jersey Airport Authority - Janitorial Supply Contract,New Jersey Airport Authority,"Trenton, NJ",Airport,"$750,000 - $2,500,000",02/03/2026,"New Jersey airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.newjerseyairport.com,Facilities Procurement,procurement@newjerseyairport.com,(NJ) Airport Operations,true,open,11/05/2025
New Jersey Correctional Facilities - Janitorial Supply Contract,New Jersey Correctional Facilities,"Trenton, NJ",Corrections,"$900,000 - $3,000,000",02/03/2026,New Jersey Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.nj.gov,Facilities Procurement,procurement@corrections.nj.gov,(NJ) DOC Procurement,true,open,11/05/2025
New Jersey Port Authority - Janitorial Supply Contract,New Jersey Port Authority,"Trenton, NJ",Port,"$500,000 - $1,800,000",02/03/2026,"New Jersey port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.newjerseyport.com,Facilities Director,facilities@newjerseyport.com,(NJ) Port Operations,true,open,11/05/2025
New Jersey Senior Living & Care - Janitorial Supply Contract,New Jersey Senior Living & Care,"Trenton, NJ",Senior Care,"$600,000 - $2,000,000",02/03/2026,New Jersey assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.newjerseyseniorcare.com,Procurement Director,procurement@newjerseyseniorcare.com,(NJ) Senior Care Purchasing,true,open,11/05/2025
New Jersey Retail Chain HQ - Janitorial Supply Contract,New Jersey Retail Chain HQ,"Trenton, NJ",Retail,"$1,200,000 - $4,000,000",02/03/2026,New Jersey retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.newjerseyretail.com,Corporate Procurement,procurement@newjerseyretail.com,(NJ) Retail Procurement,true,open,11/05/2025
New Jersey Manufacturing Plant - Janitorial Supply Contract,New Jersey Manufacturing Plant,"Trenton, NJ",Manufacturing,"$800,000 - $2,500,000",02/03/2026,New Jersey manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.newjerseymanufacturing.com,Operations Manager,operations@newjerseymfg.com,(NJ) Plant Operations,true,open,11/05/2025
New Mexico Facilities Management Department - Janitorial Supply Contract,New Mexico Facilities Management Department,"Santa Fe, NM",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"New Mexico Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.nm.gov,Facilities Director,facilities@dgs.nm.gov,(NM) State Facilities Office,true,open,11/05/2025
New Mexico Department of Education - Janitorial Supply Contract,New Mexico Department of Education,"Santa Fe, NM",Education,"$1,000,000 - $5,000,000",02/03/2026,"New Mexico Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.nm.gov,Procurement Services,procurement@education.nm.gov,(NM) DOE Procurement,true,open,11/05/2025
New Mexico University System - Janitorial Supply Contract,New Mexico University System,"Santa Fe, NM",Education,"$500,000 - $2,000,000",02/03/2026,New Mexico government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.newmexico.gov,Procurement Office,procurement@nm.gov,(NM) State Procurement,true,open,11/05/2025
New Mexico Healthcare Network - Janitorial Supply Contract,New Mexico Healthcare Network,"Santa Fe, NM",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"New Mexico healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.newmexicohealthnetwork.org,Supply Chain Director,procurement@newmexicohealth.org,(NM) Healthcare Procurement,true,open,11/05/2025
